episode,method,success,length
0,baseline,0,200
1,baseline,0,200
2,baseline,0,200
3,baseline,0,200
4,baseline,0,200
5,baseline,0,200
6,baseline,0,200
7,baseline,0,200
8,baseline,1,194
9,baseline,0,200
10,baseline,0,200
11,baseline,0,200
12,baseline,0,200
13,baseline,0,200
14,baseline,1,70
15,baseline,0,200
16,baseline,0,200
17,baseline,1,149
18,baseline,0,200
19,baseline,0,200
20,baseline,1,69
21,baseline,0,200
22,baseline,0,200
23,baseline,0,200
24,baseline,0,200
25,baseline,0,200
26,baseline,0,200
27,baseline,0,200
28,baseline,0,200
29,baseline,0,200
30,baseline,1,198
31,baseline,1,174
32,baseline,0,200
33,baseline,0,200
34,baseline,0,200
35,baseline,0,200
36,baseline,0,200
37,baseline,0,200
38,baseline,0,200
39,baseline,0,200
40,baseline,0,200
41,baseline,0,200
42,baseline,0,200
43,baseline,0,200
44,baseline,0,200
45,baseline,0,200
46,baseline,0,200
47,baseline,1,70
48,baseline,0,200
49,baseline,0,200
50,baseline,0,200
51,baseline,0,200
52,baseline,1,145
53,baseline,0,200
54,baseline,0,200
55,baseline,0,200
56,baseline,0,200
57,baseline,0,200
58,baseline,0,200
59,baseline,1,117
60,baseline,1,108
61,baseline,0,200
62,baseline,0,200
63,baseline,0,200
64,baseline,0,200
65,baseline,0,200
66,baseline,0,200
67,baseline,0,200
68,baseline,0,200
69,baseline,0,200
70,baseline,0,200
71,baseline,0,200
72,baseline,0,200
73,baseline,0,200
74,baseline,0,200
75,baseline,0,200
76,baseline,0,200
77,baseline,0,200
78,baseline,0,200
79,baseline,0,200
80,baseline,0,200
81,baseline,0,200
82,baseline,0,200
83,baseline,0,200
84,baseline,0,200
85,baseline,0,200
86,baseline,0,200
87,baseline,0,200
88,baseline,0,200
89,baseline,0,200
90,baseline,0,200
91,baseline,0,200
92,baseline,0,200
93,baseline,0,200
94,baseline,0,200
95,baseline,0,200
96,baseline,0,200
97,baseline,1,69
98,baseline,0,200
99,baseline,0,200
0,oracle_binary_k8_tau9,0,200
1,oracle_binary_k8_tau9,1,69
2,oracle_binary_k8_tau9,1,72
3,oracle_binary_k8_tau9,0,200
4,oracle_binary_k8_tau9,1,108
5,oracle_binary_k8_tau9,0,200
6,oracle_binary_k8_tau9,1,112
7,oracle_binary_k8_tau9,0,200
8,oracle_binary_k8_tau9,0,200
9,oracle_binary_k8_tau9,0,200
10,oracle_binary_k8_tau9,0,200
11,oracle_binary_k8_tau9,0,200
12,oracle_binary_k8_tau9,0,200
13,oracle_binary_k8_tau9,0,200
14,oracle_binary_k8_tau9,1,160
15,oracle_binary_k8_tau9,0,200
16,oracle_binary_k8_tau9,0,200
17,oracle_binary_k8_tau9,0,200
18,oracle_binary_k8_tau9,1,122
19,oracle_binary_k8_tau9,0,200
20,oracle_binary_k8_tau9,0,200
21,oracle_binary_k8_tau9,1,163
22,oracle_binary_k8_tau9,1,113
23,oracle_binary_k8_tau9,0,200
24,oracle_binary_k8_tau9,0,200
25,oracle_binary_k8_tau9,1,105
26,oracle_binary_k8_tau9,1,66
27,oracle_binary_k8_tau9,0,200
28,oracle_binary_k8_tau9,1,72
29,oracle_binary_k8_tau9,1,66
30,oracle_binary_k8_tau9,1,186
31,oracle_binary_k8_tau9,0,200
32,oracle_binary_k8_tau9,0,200
33,oracle_binary_k8_tau9,1,108
34,oracle_binary_k8_tau9,0,200
35,oracle_binary_k8_tau9,0,200
36,oracle_binary_k8_tau9,0,200
37,oracle_binary_k8_tau9,0,200
38,oracle_binary_k8_tau9,0,200
39,oracle_binary_k8_tau9,1,64
40,oracle_binary_k8_tau9,0,200
41,oracle_binary_k8_tau9,0,200
42,oracle_binary_k8_tau9,0,200
43,oracle_binary_k8_tau9,0,200
44,oracle_binary_k8_tau9,0,200
45,oracle_binary_k8_tau9,0,200
46,oracle_binary_k8_tau9,1,113
47,oracle_binary_k8_tau9,1,70
48,oracle_binary_k8_tau9,0,200
49,oracle_binary_k8_tau9,1,69
50,oracle_binary_k8_tau9,0,200
51,oracle_binary_k8_tau9,1,200
52,oracle_binary_k8_tau9,0,200
53,oracle_binary_k8_tau9,1,163
54,oracle_binary_k8_tau9,0,200
55,oracle_binary_k8_tau9,1,132
56,oracle_binary_k8_tau9,1,64
57,oracle_binary_k8_tau9,0,200
58,oracle_binary_k8_tau9,0,200
59,oracle_binary_k8_tau9,1,157
60,oracle_binary_k8_tau9,0,200
61,oracle_binary_k8_tau9,1,67
62,oracle_binary_k8_tau9,1,154
63,oracle_binary_k8_tau9,1,152
64,oracle_binary_k8_tau9,1,79
65,oracle_binary_k8_tau9,0,200
66,oracle_binary_k8_tau9,1,70
67,oracle_binary_k8_tau9,0,200
68,oracle_binary_k8_tau9,1,198
69,oracle_binary_k8_tau9,0,200
70,oracle_binary_k8_tau9,0,200
71,oracle_binary_k8_tau9,0,200
72,oracle_binary_k8_tau9,0,200
73,oracle_binary_k8_tau9,0,200
74,oracle_binary_k8_tau9,1,66
75,oracle_binary_k8_tau9,0,200
76,oracle_binary_k8_tau9,0,200
77,oracle_binary_k8_tau9,1,200
