episode,method,success,length
0,baseline,0,200
1,baseline,0,200
2,baseline,0,200
3,baseline,0,200
4,baseline,0,200
5,baseline,0,200
6,baseline,0,200
7,baseline,0,200
8,baseline,1,193
9,baseline,0,200
10,baseline,0,200
11,baseline,0,200
12,baseline,0,200
13,baseline,0,200
14,baseline,0,200
15,baseline,0,200
16,baseline,0,200
17,baseline,0,200
18,baseline,0,200
19,baseline,0,200
20,baseline,1,70
21,baseline,0,200
22,baseline,0,200
23,baseline,0,200
24,baseline,0,200
25,baseline,0,200
26,baseline,0,200
27,baseline,0,200
28,baseline,0,200
29,baseline,0,200
30,baseline,0,200
31,baseline,1,179
32,baseline,0,200
33,baseline,0,200
34,baseline,0,200
35,baseline,0,200
36,baseline,0,200
37,baseline,0,200
38,baseline,1,191
39,baseline,1,76
40,baseline,0,200
41,baseline,0,200
42,baseline,0,200
43,baseline,0,200
44,baseline,0,200
45,baseline,0,200
46,baseline,0,200
47,baseline,0,200
48,baseline,0,200
49,baseline,0,200
50,baseline,0,200
51,baseline,0,200
52,baseline,1,145
53,baseline,1,63
54,baseline,0,200
55,baseline,0,200
56,baseline,0,200
57,baseline,0,200
58,baseline,0,200
59,baseline,0,200
60,baseline,1,107
61,baseline,0,200
62,baseline,0,200
63,baseline,0,200
64,baseline,0,200
65,baseline,0,200
66,baseline,0,200
67,baseline,0,200
68,baseline,0,200
69,baseline,1,147
70,baseline,0,200
71,baseline,0,200
72,baseline,0,200
73,baseline,0,200
74,baseline,0,200
75,baseline,0,200
76,baseline,0,200
77,baseline,0,200
78,baseline,0,200
79,baseline,0,200
80,baseline,0,200
81,baseline,1,199
82,baseline,0,200
83,baseline,0,200
84,baseline,0,200
85,baseline,0,200
86,baseline,0,200
87,baseline,1,197
88,baseline,0,200
89,baseline,0,200
90,baseline,0,200
91,baseline,0,200
92,baseline,0,200
93,baseline,0,200
94,baseline,0,200
95,baseline,0,200
96,baseline,0,200
97,baseline,0,200
98,baseline,0,200
99,baseline,1,67
0,oracle_binary_k8_tau7,0,200
1,oracle_binary_k8_tau7,1,68
2,oracle_binary_k8_tau7,1,60
3,oracle_binary_k8_tau7,1,110
4,oracle_binary_k8_tau7,0,200
5,oracle_binary_k8_tau7,0,200
6,oracle_binary_k8_tau7,1,200
7,oracle_binary_k8_tau7,1,73
8,oracle_binary_k8_tau7,0,200
9,oracle_binary_k8_tau7,1,160
10,oracle_binary_k8_tau7,1,69
11,oracle_binary_k8_tau7,0,200
12,oracle_binary_k8_tau7,0,200
13,oracle_binary_k8_tau7,0,200
14,oracle_binary_k8_tau7,1,64
15,oracle_binary_k8_tau7,0,200
16,oracle_binary_k8_tau7,1,160
17,oracle_binary_k8_tau7,0,200
18,oracle_binary_k8_tau7,1,71
19,oracle_binary_k8_tau7,0,200
20,oracle_binary_k8_tau7,1,197
21,oracle_binary_k8_tau7,0,200
22,oracle_binary_k8_tau7,1,66
23,oracle_binary_k8_tau7,0,200
24,oracle_binary_k8_tau7,1,70
25,oracle_binary_k8_tau7,0,200
26,oracle_binary_k8_tau7,1,65
27,oracle_binary_k8_tau7,0,200
28,oracle_binary_k8_tau7,0,200
29,oracle_binary_k8_tau7,0,200
30,oracle_binary_k8_tau7,0,200
31,oracle_binary_k8_tau7,0,200
32,oracle_binary_k8_tau7,1,64
33,oracle_binary_k8_tau7,0,200
34,oracle_binary_k8_tau7,1,158
35,oracle_binary_k8_tau7,1,148
36,oracle_binary_k8_tau7,0,200
37,oracle_binary_k8_tau7,0,200
38,oracle_binary_k8_tau7,1,150
39,oracle_binary_k8_tau7,0,200
40,oracle_binary_k8_tau7,0,200
41,oracle_binary_k8_tau7,0,200
42,oracle_binary_k8_tau7,1,195
43,oracle_binary_k8_tau7,0,200
44,oracle_binary_k8_tau7,1,154
45,oracle_binary_k8_tau7,0,200
46,oracle_binary_k8_tau7,1,116
47,oracle_binary_k8_tau7,1,75
48,oracle_binary_k8_tau7,1,152
49,oracle_binary_k8_tau7,0,200
50,oracle_binary_k8_tau7,1,152
51,oracle_binary_k8_tau7,0,200
52,oracle_binary_k8_tau7,0,200
53,oracle_binary_k8_tau7,0,200
54,oracle_binary_k8_tau7,0,200
55,oracle_binary_k8_tau7,0,200
56,oracle_binary_k8_tau7,1,65
57,oracle_binary_k8_tau7,1,107
58,oracle_binary_k8_tau7,0,200
59,oracle_binary_k8_tau7,1,69
60,oracle_binary_k8_tau7,0,200
61,oracle_binary_k8_tau7,1,190
62,oracle_binary_k8_tau7,0,200
63,oracle_binary_k8_tau7,0,200
64,oracle_binary_k8_tau7,1,200
65,oracle_binary_k8_tau7,0,200
66,oracle_binary_k8_tau7,0,200
67,oracle_binary_k8_tau7,1,99
68,oracle_binary_k8_tau7,0,200
69,oracle_binary_k8_tau7,1,151
70,oracle_binary_k8_tau7,0,200
71,oracle_binary_k8_tau7,1,157
72,oracle_binary_k8_tau7,0,200
73,oracle_binary_k8_tau7,0,200
74,oracle_binary_k8_tau7,1,66
75,oracle_binary_k8_tau7,1,72
76,oracle_binary_k8_tau7,1,72
77,oracle_binary_k8_tau7,1,65
