episode,method,success,length
0,baseline,0,200
1,baseline,0,200
2,baseline,0,200
3,baseline,0,200
4,baseline,0,200
5,baseline,0,200
6,baseline,0,200
7,baseline,0,200
8,baseline,0,200
9,baseline,0,200
10,baseline,0,200
11,baseline,0,200
12,baseline,0,200
13,baseline,0,200
14,baseline,0,200
15,baseline,0,200
16,baseline,0,200
17,baseline,0,200
18,baseline,0,200
19,baseline,0,200
20,baseline,0,200
21,baseline,0,200
22,baseline,0,200
23,baseline,0,200
24,baseline,1,102
25,baseline,0,200
26,baseline,0,200
27,baseline,0,200
28,baseline,0,200
29,baseline,0,200
30,baseline,0,200
31,baseline,0,200
32,baseline,0,200
33,baseline,0,200
34,baseline,0,200
35,baseline,0,200
36,baseline,0,200
37,baseline,0,200
38,baseline,0,200
39,baseline,0,200
40,baseline,0,200
41,baseline,0,200
42,baseline,1,96
43,baseline,0,200
44,baseline,0,200
45,baseline,0,200
46,baseline,0,200
47,baseline,0,200
48,baseline,0,200
49,baseline,0,200
50,baseline,0,200
51,baseline,0,200
52,baseline,0,200
53,baseline,1,194
54,baseline,0,200
55,baseline,0,200
56,baseline,0,200
57,baseline,0,200
58,baseline,0,200
59,baseline,0,200
60,baseline,0,200
61,baseline,0,200
62,baseline,0,200
63,baseline,0,200
64,baseline,0,200
65,baseline,0,200
66,baseline,0,200
67,baseline,0,200
68,baseline,0,200
69,baseline,0,200
70,baseline,0,200
71,baseline,0,200
72,baseline,0,200
73,baseline,0,200
74,baseline,0,200
75,baseline,0,200
76,baseline,0,200
77,baseline,0,200
78,baseline,0,200
79,baseline,0,200
80,baseline,0,200
81,baseline,0,200
82,baseline,1,150
83,baseline,0,200
84,baseline,0,200
85,baseline,1,66
86,baseline,0,200
87,baseline,0,200
88,baseline,0,200
89,baseline,0,200
90,baseline,1,59
91,baseline,0,200
92,baseline,0,200
93,baseline,0,200
94,baseline,0,200
95,baseline,0,200
96,baseline,0,200
97,baseline,0,200
98,baseline,0,200
99,baseline,1,119
0,oracle_lookahead_k8,1,162
1,oracle_lookahead_k8,0,200
2,oracle_lookahead_k8,0,200
3,oracle_lookahead_k8,0,200
4,oracle_lookahead_k8,1,143
5,oracle_lookahead_k8,1,139
6,oracle_lookahead_k8,0,200
7,oracle_lookahead_k8,1,56
8,oracle_lookahead_k8,1,54
9,oracle_lookahead_k8,0,200
10,oracle_lookahead_k8,1,135
11,oracle_lookahead_k8,1,180
12,oracle_lookahead_k8,1,180
13,oracle_lookahead_k8,0,200
14,oracle_lookahead_k8,0,200
15,oracle_lookahead_k8,1,55
16,oracle_lookahead_k8,1,172
17,oracle_lookahead_k8,1,60
18,oracle_lookahead_k8,0,200
19,oracle_lookahead_k8,0,200
20,oracle_lookahead_k8,1,54
21,oracle_lookahead_k8,0,200
22,oracle_lookahead_k8,0,200
23,oracle_lookahead_k8,1,128
24,oracle_lookahead_k8,0,200
25,oracle_lookahead_k8,0,200
26,oracle_lookahead_k8,1,178
27,oracle_lookahead_k8,0,200
28,oracle_lookahead_k8,1,93
29,oracle_lookahead_k8,0,200
30,oracle_lookahead_k8,1,50
31,oracle_lookahead_k8,1,109
32,oracle_lookahead_k8,0,200
33,oracle_lookahead_k8,0,200
34,oracle_lookahead_k8,0,200
35,oracle_lookahead_k8,0,200
36,oracle_lookahead_k8,0,200
37,oracle_lookahead_k8,1,200
38,oracle_lookahead_k8,0,200
39,oracle_lookahead_k8,1,100
40,oracle_lookahead_k8,0,200
41,oracle_lookahead_k8,1,134
42,oracle_lookahead_k8,1,194
43,oracle_lookahead_k8,1,48
44,oracle_lookahead_k8,1,131
45,oracle_lookahead_k8,0,200
46,oracle_lookahead_k8,0,200
47,oracle_lookahead_k8,0,200
48,oracle_lookahead_k8,1,98
49,oracle_lookahead_k8,0,200
50,oracle_lookahead_k8,1,105
51,oracle_lookahead_k8,1,138
52,oracle_lookahead_k8,0,200
53,oracle_lookahead_k8,0,200
54,oracle_lookahead_k8,0,200
55,oracle_lookahead_k8,1,54
56,oracle_lookahead_k8,1,60
57,oracle_lookahead_k8,1,58
58,oracle_lookahead_k8,1,168
59,oracle_lookahead_k8,1,95
60,oracle_lookahead_k8,0,200
61,oracle_lookahead_k8,0,200
62,oracle_lookahead_k8,0,200
63,oracle_lookahead_k8,1,186
64,oracle_lookahead_k8,0,200
65,oracle_lookahead_k8,1,142
66,oracle_lookahead_k8,0,200
67,oracle_lookahead_k8,0,200
68,oracle_lookahead_k8,1,148
69,oracle_lookahead_k8,1,54
70,oracle_lookahead_k8,0,200
71,oracle_lookahead_k8,1,176
72,oracle_lookahead_k8,1,89
73,oracle_lookahead_k8,1,139
74,oracle_lookahead_k8,1,83
75,oracle_lookahead_k8,1,196
76,oracle_lookahead_k8,0,200
77,oracle_lookahead_k8,0,200
78,oracle_lookahead_k8,1,168
79,oracle_lookahead_k8,1,100
80,oracle_lookahead_k8,1,144
81,oracle_lookahead_k8,0,200
82,oracle_lookahead_k8,0,200
83,oracle_lookahead_k8,1,94
84,oracle_lookahead_k8,0,200
85,oracle_lookahead_k8,1,170
86,oracle_lookahead_k8,1,136
