episode,method,success,length
0,baseline,0,200
1,baseline,0,200
2,baseline,0,200
3,baseline,0,200
4,baseline,0,200
5,baseline,0,200
6,baseline,0,200
7,baseline,0,200
8,baseline,0,200
9,baseline,0,200
10,baseline,0,200
11,baseline,0,200
12,baseline,0,200
13,baseline,0,200
14,baseline,0,200
15,baseline,0,200
16,baseline,0,200
17,baseline,0,200
18,baseline,0,200
19,baseline,0,200
20,baseline,0,200
21,baseline,1,70
22,baseline,1,62
23,baseline,0,200
24,baseline,1,63
25,baseline,1,67
26,baseline,0,200
27,baseline,0,200
28,baseline,0,200
29,baseline,0,200
30,baseline,0,200
31,baseline,0,200
32,baseline,0,200
33,baseline,0,200
34,baseline,0,200
35,baseline,0,200
36,baseline,0,200
37,baseline,0,200
38,baseline,0,200
39,baseline,0,200
40,baseline,0,200
41,baseline,0,200
42,baseline,1,157
43,baseline,0,200
44,baseline,0,200
45,baseline,1,71
46,baseline,0,200
47,baseline,1,153
48,baseline,0,200
49,baseline,0,200
50,baseline,0,200
51,baseline,0,200
52,baseline,1,63
53,baseline,0,200
54,baseline,0,200
55,baseline,0,200
56,baseline,1,74
57,baseline,0,200
58,baseline,0,200
59,baseline,0,200
60,baseline,0,200
61,baseline,0,200
62,baseline,0,200
63,baseline,0,200
64,baseline,0,200
65,baseline,0,200
66,baseline,0,200
67,baseline,0,200
68,baseline,0,200
69,baseline,0,200
70,baseline,0,200
71,baseline,0,200
72,baseline,1,108
73,baseline,0,200
74,baseline,0,200
75,baseline,0,200
76,baseline,0,200
77,baseline,0,200
78,baseline,0,200
79,baseline,0,200
80,baseline,0,200
81,baseline,0,200
82,baseline,0,200
83,baseline,0,200
84,baseline,0,200
85,baseline,0,200
86,baseline,0,200
87,baseline,0,200
88,baseline,0,200
89,baseline,0,200
90,baseline,0,200
91,baseline,0,200
92,baseline,0,200
93,baseline,0,200
94,baseline,0,200
95,baseline,0,200
96,baseline,0,200
97,baseline,0,200
98,baseline,0,200
99,baseline,0,200
0,oracle_lookahead_k8,0,200
1,oracle_lookahead_k8,1,62
2,oracle_lookahead_k8,1,158
3,oracle_lookahead_k8,1,65
4,oracle_lookahead_k8,1,108
5,oracle_lookahead_k8,0,200
6,oracle_lookahead_k8,1,56
7,oracle_lookahead_k8,1,193
8,oracle_lookahead_k8,1,72
9,oracle_lookahead_k8,1,63
10,oracle_lookahead_k8,1,180
11,oracle_lookahead_k8,1,57
12,oracle_lookahead_k8,0,200
13,oracle_lookahead_k8,1,67
14,oracle_lookahead_k8,1,57
15,oracle_lookahead_k8,1,63
16,oracle_lookahead_k8,1,70
17,oracle_lookahead_k8,0,200
18,oracle_lookahead_k8,1,151
19,oracle_lookahead_k8,1,112
20,oracle_lookahead_k8,1,67
21,oracle_lookahead_k8,1,68
22,oracle_lookahead_k8,0,200
23,oracle_lookahead_k8,1,114
24,oracle_lookahead_k8,1,149
25,oracle_lookahead_k8,1,192
26,oracle_lookahead_k8,0,200
27,oracle_lookahead_k8,0,200
28,oracle_lookahead_k8,1,112
29,oracle_lookahead_k8,1,67
30,oracle_lookahead_k8,1,61
31,oracle_lookahead_k8,1,64
32,oracle_lookahead_k8,1,77
33,oracle_lookahead_k8,1,187
34,oracle_lookahead_k8,1,101
35,oracle_lookahead_k8,1,161
36,oracle_lookahead_k8,0,200
37,oracle_lookahead_k8,1,141
38,oracle_lookahead_k8,1,142
39,oracle_lookahead_k8,1,200
40,oracle_lookahead_k8,1,66
41,oracle_lookahead_k8,0,200
42,oracle_lookahead_k8,1,59
43,oracle_lookahead_k8,1,63
44,oracle_lookahead_k8,0,200
45,oracle_lookahead_k8,1,66
46,oracle_lookahead_k8,1,144
47,oracle_lookahead_k8,1,150
48,oracle_lookahead_k8,1,199
49,oracle_lookahead_k8,1,153
50,oracle_lookahead_k8,0,200
51,oracle_lookahead_k8,0,200
52,oracle_lookahead_k8,1,62
53,oracle_lookahead_k8,1,59
54,oracle_lookahead_k8,1,196
55,oracle_lookahead_k8,1,196
56,oracle_lookahead_k8,1,58
57,oracle_lookahead_k8,1,59
58,oracle_lookahead_k8,0,200
59,oracle_lookahead_k8,1,153
60,oracle_lookahead_k8,1,62
61,oracle_lookahead_k8,1,105
62,oracle_lookahead_k8,0,200
63,oracle_lookahead_k8,1,152
64,oracle_lookahead_k8,1,59
65,oracle_lookahead_k8,0,200
66,oracle_lookahead_k8,1,153
67,oracle_lookahead_k8,1,190
68,oracle_lookahead_k8,1,109
69,oracle_lookahead_k8,1,60
70,oracle_lookahead_k8,0,200
71,oracle_lookahead_k8,1,151
72,oracle_lookahead_k8,0,200
73,oracle_lookahead_k8,1,64
74,oracle_lookahead_k8,0,200
75,oracle_lookahead_k8,0,200
76,oracle_lookahead_k8,1,199
77,oracle_lookahead_k8,1,153
78,oracle_lookahead_k8,1,200
79,oracle_lookahead_k8,0,200
80,oracle_lookahead_k8,0,200
81,oracle_lookahead_k8,1,196
82,oracle_lookahead_k8,1,66
83,oracle_lookahead_k8,1,113
84,oracle_lookahead_k8,1,193
85,oracle_lookahead_k8,1,70
86,oracle_lookahead_k8,1,67
